annee_consommation,zone_climatique,code_region,code_departement,nom_commune,nombre_declaration,surface_declaree,consommation_declaree,vecteur_energie
Année de référence,H1a,11,78,HOUDAN,5,28109,8859595,Electricite
Année de référence,H1a,11,78,HOUDAN,5,28109,8859595,Gaz
Année de référence,H1a,11,78,HOUILLES,7,24868,3975436,Electricite
Année de référence,H1a,11,78,HOUILLES,7,24868,3975436,Gaz
Année de référence,H1a,11,78,ISSOU,11,16284,2487866,Electricite
Année de référence,H1a,11,78,ISSOU,11,16284,2487866,Gaz
Année de référence,H1a,11,78,JOUARS PONTCHARTRAIN,6,32715,6112416,Electricite
Année de référence,H1a,11,78,JOUARS PONTCHARTRAIN,6,32715,6112416,Gaz
Année de référence,H1a,11,78,JOUY EN JOSAS,11,72649,21006427,Electricite
Année de référence,H1a,11,78,JOUY EN JOSAS,11,72649,21006427,Gaz
Année de référence,H1a,11,78,JUZIERS,4,8027,756390,Electricite
Année de référence,H1a,11,78,JUZIERS,4,8027,756390,Gaz
Année de référence,H1a,11,78,L ETANG LA VILLE,4,9247,900467,Electricite
Année de référence,H1a,11,78,LA CELLE SAINT CLOUD,38,74373,18469857,Electricite
Année de référence,H1a,11,78,LA CELLE SAINT CLOUD,38,74373,18469857,Gaz
Année de référence,H1a,11,78,LA QUEUE LES YVELINES,6,16510,5116450,Electricite
Année de référence,H1a,11,78,LA QUEUE LES YVELINES,6,16510,5116450,Gaz
Année de référence,H1a,11,78,LA VERRIERE,11,25432,9077184,Electricite
Année de référence,H1a,11,78,LA VERRIERE,11,25432,9077184,Gaz
Année de référence,H1a,11,78,LE MESNIL LE ROI,10,15239,3908576,Electricite
Année de référence,H1a,11,78,LE MESNIL LE ROI,10,15239,3908576,Gaz
Année de référence,H1a,11,78,LE MESNIL SAINT DENIS,9,23742,4433311,Electricite
Année de référence,H1a,11,78,LE MESNIL SAINT DENIS,9,23742,4433311,Gaz
Année de référence,H1a,11,78,LE PECQ,29,62275,13629081,Electricite
Année de référence,H1a,11,78,LE PECQ,29,62275,13629081,Gaz
Année de référence,H1a,11,78,LE PERRAY EN YVELINES,12,42490,9154529,Electricite
Année de référence,H1a,11,78,LE PERRAY EN YVELINES,12,42490,9154529,Gaz
Année de référence,H1a,11,78,LE PORT MARLY,5,29925,3638209,Electricite
Année de référence,H1a,11,78,LE PORT MARLY,5,29925,3638209,Gaz
Année de référence,H1a,11,78,LE VESINET,24,85882,16618741,Electricite
Année de référence,H1a,11,78,LE VESINET,24,85882,16618741,Gaz
Année de référence,H1a,11,78,LES ESSARTS LE ROI,12,26777,4407660,Electricite
Année de référence,H1a,11,78,LES ESSARTS LE ROI,12,26777,4407660,Gaz
Année de référence,H1a,11,78,LES LOGES EN JOSAS,5,11003,1842165,Electricite
Année de référence,H1a,11,78,LES LOGES EN JOSAS,5,11003,1842165,Non spécifié
Année de référence,H1a,11,78,LES MESNULS,4,10541,2216176,Electricite
Année de référence,H1a,11,78,LES MUREAUX,82,158743,26908976,Electricite
Année de référence,H1a,11,78,LES MUREAUX,82,158743,26908976,Gaz
Année de référence,H1a,11,78,LES MUREAUX,82,158743,26908976,Non spécifié
Année de référence,H1a,11,78,LEVIS SAINT NOM,3,2201,315745,Electricite
Année de référence,H1a,11,78,LIMAY,24,61445,13145615,Bois
Année de référence,H1a,11,78,LIMAY,24,61445,13145615,Electricite
Année de référence,H1a,11,78,LIMAY,24,61445,13145615,Gaz
Année de référence,H1a,11,78,LONGNES,4,2274,394572,Electricite
