annee_consommation,zone_climatique,nom_region,nom_departement,nom_commune,nombre_declaration,surface_declaree,consommation_declaree,vecteur_energie
2020,H2c,Nouvelle-Aquitaine,Gironde,LES BILLAUX,3,7175,299322,Electricite
2020,H2c,Nouvelle-Aquitaine,Gironde,PUGNAC,3,5995,648253,Electricite
2020,H2c,Nouvelle-Aquitaine,Gironde,SAINT BRICE,3,7800,480400,Electricite
2020,H2c,Nouvelle-Aquitaine,Landes,BENESSE MAREMNE,8,19213,1630479,Electricite
2020,H2c,Nouvelle-Aquitaine,Landes,MOLIETS ET MAA,3,7369,493927,Electricite
2020,H2c,Nouvelle-Aquitaine,Landes,PISSOS,3,2607,192337,Electricite
2020,H2c,Nouvelle-Aquitaine,Landes,YCHOUX,4,2919,166538,Electricite
2020,H2c,Nouvelle-Aquitaine,Pyrénées-Atlantiques,LAHONCE,9,9547,649938,Electricite
2020,H2c,Nouvelle-Aquitaine,Pyrénées-Atlantiques,SEVIGNACQ MEYRACQ,3,4031,237050,Inconnu
2020,H2c,Occitanie,Ariège,SAVERDUN,3,16615,1594533,Inconnu
2020,H2c,Occitanie,Ariège,VERNIOLLE,4,13657,1664683,Electricite
2020,H2c,Occitanie,Aveyron,VABRES L ABBAYE,3,4143,971591,Inconnu
2020,H2c,Occitanie,Haute-Garonne,AUZIELLE,5,2016,161493,Electricite
2020,H2c,Occitanie,Haute-Garonne,MANE,3,7134,1435368,Inconnu
2020,H2c,Occitanie,Haute-Garonne,MONTBRUN LAURAGAIS,5,1813,55640,Electricite
2020,H2c,Occitanie,Lot,CAPDENAC,4,6681,411473,Electricite
2020,H2c,Occitanie,Lot,LE MONTAT,4,8850,816891,Electricite
2020,H2c,Occitanie,Tarn,SOUAL,5,16206,2332050,Electricite
2020,H2d,Auvergne-Rhône-Alpes,Ardèche,ROSIERES,3,7562,1275744,Electricite
2020,H2d,Auvergne-Rhône-Alpes,Drôme,MIRABEL ET BLACONS,9,2510,179389,Electricite
2020,H2d,Provence-Alpes-Côte d'Azur,Alpes-de-Haute-Provence,PEYRUIS,3,7302,295580,Electricite
2020,H2d,Provence-Alpes-Côte d'Azur,Vaucluse,COURTHEZON,3,2708,131569,Electricite
2020,H2d,Provence-Alpes-Côte d'Azur,Vaucluse,LE THOR,5,19475,1504304,Electricite
2020,H2d,Provence-Alpes-Côte d'Azur,Vaucluse,MORNAS,4,5419,1823616,Electricite
2020,H3,Île-de-France,Hauts-de-Seine,PUTEAUX,30,467551,7297450,Electricite
2020,H3,Bretagne,Ille-et-Vilaine,CESSON SEVIGNE,4,835,83775,Electricite
2020,H3,Bretagne,Ille-et-Vilaine,PACE,8,1466,226366,Electricite
2020,H3,Occitanie,Gard,AIMARGUES,7,32822,3974510,Electricite
2020,H3,Occitanie,Hérault,THEZAN LES BEZIERS,5,11837,2764925,Inconnu
2020,H3,Occitanie,Pyrénées-Orientales,ERR,3,8552,762667,Electricite
2020,H3,Occitanie,Pyrénées-Orientales,LOS MASOS,3,9854,1196319,Electricite
2020,H3,Occitanie,Pyrénées-Orientales,SOREDE,8,11254,708344,Electricite
2020,H3,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,LE ROURET,3,12041,1966734,Inconnu
2020,H3,Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,FONTVIEILLE,4,5860,114425,Electricite
2020,H3,Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,GRANS,13,111923,7002522,Electricite
2020,H3,Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,LANCON PROVENCE,6,10601,2256014,Electricite
2020,H3,Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,ROGNONAS,3,8674,2091382,Electricite
2020,H3,Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,SAINTES MARIES DE LA MER,4,5007,327599,Electricite
2020,H3,Provence-Alpes-Côte d'Azur,Var,LE LAVANDOU,8,19336,3068725,Electricite
2020,H3,Provence-Alpes-Côte d'Azur,Var,MONTAUROUX,3,3283,682302,Electricite
2020,H3,Provence-Alpes-Côte d'Azur,Var,RAYOL CANADEL SUR MER,4,5029,678640,Electricite
2020,H3,Provence-Alpes-Côte d'Azur,Var,ROCBARON,3,2398,358929,Electricite
2020,H3,Corse,Corse-du-Sud,AFA,3,20523,4498260,Electricite
2020,H3,Corse,Corse-du-Sud,PORTO VECCHIO,20,40280,5686035,Electricite
2020,H3,Corse,Haute-Corse,CALVI,5,9546,1386079,Electricite
2020,H3,Corse,Haute-Corse,GHISONACCIA,4,12686,569917,Electricite
2020,H3,Corse,Haute-Corse,L ILE ROUSSE,5,6807,1119787,Electricite
2020,MAR,Martinique,Martinique,DUCOS,9,1131,243110,Electricite
2020,MAR,Martinique,Martinique,FORT DE FRANCE,75,189300,26807202,Electricite
2020,MAR,Martinique,Martinique,LE LAMENTIN,86,207917,28283989,Electricite
