annee_consommation,zone_climatique,nom_region,nom_departement,nom_commune,nombre_declaration,surface_declaree,consommation_declaree,vecteur_energie,coordonnees_gps,densite_energetique,consommation_log,consommation_etat
2020,H2b,Nouvelle-Aquitaine,Deux-Sèvres,SAINT VARENT,5,10441,3459241,Inconnu,"(46.8892151, -0.2357384)",331.31318839191647,15.056560047888933,Normale
2020,H2b,Nouvelle-Aquitaine,Deux-Sèvres,SAUZE VAUSSAIS,4,11292,1710416,Inconnu,"(46.12234225, 0.10545236330471891)",151.4714842366277,14.352247758399034,Normale
2020,H2b,Nouvelle-Aquitaine,Vienne,BONNEUIL MATOURS,3,1718,96128,Electricite,"(46.6815502, 0.5695724)",55.953434225844006,11.473446318425914,Normale
2020,H2b,Nouvelle-Aquitaine,Vienne,SAINT GENEST D AMBIERE,5,4999,808918,Inconnu,"(46.8205247, 0.3690097)",161.81596319263852,13.60345406741853,Normale
2020,H2b,Nouvelle-Aquitaine,Haute-Vienne,LIMOGES,3,5541,524650,Electricite,"(45.8354243, 1.2644847)",94.68507489622812,13.170488558616833,Normale
2020,H2c,Nouvelle-Aquitaine,Dordogne,SAINT LAURENT DES VIGNES,3,6694,610484,Inconnu,"(44.8161224, 0.4542574)",91.1986853899014,13.322009002206478,Normale
2020,H2c,Nouvelle-Aquitaine,Gironde,BEAUTIRAN,7,8712,1533505,Inconnu,"(44.7044407, -0.4511393)",176.02215335169882,14.243067175146983,Normale
2020,H2c,Nouvelle-Aquitaine,Gironde,BEGUEY,3,10238,1876579,Electricite,"(44.6442931, -0.3227988)",183.29546786481734,14.444961529209088,Normale
2020,H2c,Nouvelle-Aquitaine,Gironde,GRAYAN ET L HOPITAL,19,1235,77562,Electricite,"(45.4329646, -1.1073562304622029)",62.80323886639676,11.258845788340366,Normale
2020,H2c,Nouvelle-Aquitaine,Gironde,LES ARTIGUES DE LUSSAC,7,2781,45633,Electricite,"(44.9706388, -0.1398679)",16.408845738942826,10.728408331705516,Normale
2020,H2c,Nouvelle-Aquitaine,Gironde,LES BILLAUX,3,7175,299322,Electricite,"(44.9517222, -0.237159)",41.71735191637631,12.609278536862229,Normale
2020,H2c,Nouvelle-Aquitaine,Gironde,PUGNAC,3,5995,648253,Electricite,"(45.0816918, -0.4956194)",108.13227689741451,13.382037873840801,Normale
2020,H2c,Nouvelle-Aquitaine,Gironde,SAINT BRICE,3,7800,480400,Electricite,"(48.6981206, -1.3080672)",61.58974358974359,13.082376450784468,Normale
2020,H2c,Nouvelle-Aquitaine,Landes,BENESSE MAREMNE,8,19213,1630479,Electricite,"(43.6334222, -1.361178)",84.86332170925935,14.304385007960262,Normale
2020,H2c,Nouvelle-Aquitaine,Landes,MOLIETS ET MAA,3,7369,493927,Electricite,"(43.8489264, -1.3566675)",67.0276835391505,13.11014503655979,Normale
2020,H2c,Nouvelle-Aquitaine,Landes,PISSOS,3,2607,192337,Electricite,"(44.3080279, -0.7777106)",73.77713847334101,12.167009519959317,Normale
2020,H2c,Nouvelle-Aquitaine,Landes,YCHOUX,4,2919,166538,Electricite,"(44.3280449, -0.9615648)",57.053100376841385,12.022984795208314,Normale
2020,H2c,Nouvelle-Aquitaine,Pyrénées-Atlantiques,LAHONCE,9,9547,649938,Electricite,"(43.4831925, -1.3902495)",68.0777207499738,13.384633791314148,Normale
2020,H2c,Nouvelle-Aquitaine,Pyrénées-Atlantiques,SEVIGNACQ MEYRACQ,3,4031,237050,Inconnu,"(43.1134134, -0.4107705)",58.806747705284046,12.376030586840667,Normale
2020,H2c,Occitanie,Ariège,SAVERDUN,3,16615,1594533,Inconnu,"(43.2336968, 1.5754613)",95.96948540475474,14.28209208850375,Normale
2020,H2c,Occitanie,Ariège,VERNIOLLE,4,13657,1664683,Electricite,"(43.0794025, 1.6514261)",121.89228966830197,14.325145873594531,Normale
2020,H2c,Occitanie,Aveyron,VABRES L ABBAYE,3,4143,971591,Inconnu,"(43.94526, 2.8372069)",234.51387883176443,13.78669124223517,Normale
2020,H2c,Occitanie,Haute-Garonne,AUZIELLE,5,2016,161493,Electricite,"(43.5415799, 1.5664791)",80.10565476190476,11.99222326925192,Normale
2020,H2c,Occitanie,Haute-Garonne,MANE,3,7134,1435368,Inconnu,"(43.0818375, 0.9504994)",201.20100925147182,14.176932516977443,Normale
2020,H2c,Occitanie,Haute-Garonne,MONTBRUN LAURAGAIS,5,1813,55640,Electricite,"(43.4568086, 1.522606)",30.68946497517926,10.926675618557397,Normale
2020,H2c,Occitanie,Lot,CAPDENAC,4,6681,411473,Electricite,"(44.5808234, 2.0696065)",61.58853465050142,12.927501113628011,Normale
2020,H2c,Occitanie,Lot,LE MONTAT,4,8850,816891,Electricite,"(44.3797732, 1.4458932)",92.30406779661017,13.613262174161674,Normale
2020,H2c,Occitanie,Tarn,SOUAL,5,16206,2332050,Electricite,"(43.5545042, 2.1148775)",143.90040725657164,14.662258695853177,Normale
2020,H2d,Auvergne-Rhône-Alpes,Ardèche,ROSIERES,3,7562,1275744,Electricite,"(49.1882738, 2.7791596)",168.70457550912457,14.05904087965536,Normale
2020,H2d,Auvergne-Rhône-Alpes,Drôme,MIRABEL ET BLACONS,9,2510,179389,Electricite,"(44.7096, 5.09138)",71.46972111553785,12.097317485693136,Normale
2020,H2d,Provence-Alpes-Côte d'Azur,Alpes-de-Haute-Provence,PEYRUIS,3,7302,295580,Electricite,"(44.0300301, 5.9408922)",40.479320734045466,12.596698189941675,Normale
2020,H2d,Provence-Alpes-Côte d'Azur,Vaucluse,COURTHEZON,3,2708,131569,Electricite,"(44.0867088, 4.8835125)",48.585302806499264,11.787294308359884,Normale
2020,H2d,Provence-Alpes-Côte d'Azur,Vaucluse,LE THOR,5,19475,1504304,Electricite,"(43.928823, 4.9945784)",77.2428241335045,14.223841555485484,Normale
2020,H2d,Provence-Alpes-Côte d'Azur,Vaucluse,MORNAS,4,5419,1823616,Electricite,"(44.2011293, 4.728396)",336.5226056467983,14.416332449497757,Normale
2020,H3,Île-de-France,Hauts-de-Seine,PUTEAUX,30,467551,7297450,Electricite,"(48.8841522, 2.2368863)",15.607816045736188,15.803035667059566,Normale
2020,H3,Bretagne,Ille-et-Vilaine,CESSON SEVIGNE,4,835,83775,Electricite,"(48.1197799, -1.6038829)",100.32934131736526,11.335901849269572,Normale
2020,H3,Bretagne,Ille-et-Vilaine,PACE,8,1466,226366,Electricite,"(48.4454551, -0.0039061)",154.4106412005457,12.329912854969871,Normale
2020,H3,Occitanie,Gard,AIMARGUES,7,32822,3974510,Electricite,"(43.6848937, 4.2095434)",121.09286454207543,15.195412279635203,Normale
2020,H3,Occitanie,Hérault,THEZAN LES BEZIERS,5,11837,2764925,Inconnu,"(43.4217929, 3.1704075)",233.58325589254034,14.832524429470126,Normale
2020,H3,Occitanie,Pyrénées-Orientales,ERR,3,8552,762667,Electricite,"(42.4406621, 2.0328526)",89.17995790458372,13.544578091063936,Normale
2020,H3,Occitanie,Pyrénées-Orientales,LOS MASOS,3,9854,1196319,Electricite,"(42.6235726, 2.45913)",121.40440430282119,13.994760736233742,Normale
2020,H3,Occitanie,Pyrénées-Orientales,SOREDE,8,11254,708344,Electricite,"(42.5304019, 2.9564544)",62.94153189976897,13.470686542125142,Normale
2020,H3,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,LE ROURET,3,12041,1966734,Inconnu,"(43.6743043, 7.0059129)",163.33643385100905,14.49188536536693,Normale
2020,H3,Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,FONTVIEILLE,4,5860,114425,Electricite,"(43.7264844, 4.707674)",19.52645051194539,11.647683604832574,Normale
2020,H3,Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,GRANS,13,111923,7002522,Electricite,"(43.606758, 5.063379)",62.565531660159216,15.761781070652242,Normale
2020,H3,Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,LANCON PROVENCE,6,10601,2256014,Electricite,"(43.5913062, 5.1258628)",212.81143288369023,14.629110540514153,Normale
2020,H3,Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,ROGNONAS,3,8674,2091382,Electricite,"(43.8997994, 4.8044205)",241.1092921374222,14.553336127587242,Normale
2020,H3,Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,SAINTES MARIES DE LA MER,4,5007,327599,Electricite,"(43.4515922, 4.4277202)",65.42820051927302,12.69954863096105,Normale
2020,H3,Provence-Alpes-Côte d'Azur,Var,LE LAVANDOU,8,19336,3068725,Electricite,"(43.1383795, 6.3701286)",158.7052647910633,14.936773049720454,Normale
2020,H3,Provence-Alpes-Côte d'Azur,Var,MONTAUROUX,3,3283,682302,Electricite,"(43.617944, 6.765164)",207.8288151081328,13.433229119686711,Normale
